"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06.12.2022","108,49","108,49","108,49","108,49","","0,75%"
"05.12.2022","107,68","107,68","107,68","107,68","","0,22%"
"02.12.2022","107,44","107,44","107,44","107,44","","4,21%"
"01.12.2022","103,10","103,10","103,10","103,10","","10,56%"
"30.11.2022","93,25","93,25","93,25","93,25","","0,38%"
"29.11.2022","92,90","92,90","92,90","92,90","","-0,15%"
"28.11.2022","93,04","93,04","93,04","93,04","","0,32%"
"25.11.2022","92,74","92,74","92,74","92,74","","0,87%"
"23.11.2022","91,94","91,94","91,94","91,94","","0,54%"
"22.11.2022","91,45","91,45","91,45","91,45","","-0,10%"
"21.11.2022","91,54","91,54","91,54","91,54","","-1,45%"
"18.11.2022","92,89","92,89","92,89","92,89","","-0,21%"
"17.11.2022","93,09","93,09","93,09","93,09","","0,81%"
"16.11.2022","92,34","92,34","92,34","92,34","","0,05%"
"15.11.2022","92,29","92,29","92,29","92,29","","0,22%"
"14.11.2022","92,09","92,09","92,09","92,09","","1,43%"
"11.11.2022","90,79","90,79","90,79","90,79","","2,95%"
"10.11.2022","88,19","88,19","88,19","88,19","","0,78%"
"09.11.2022","87,51","87,51","87,51","87,51","","2,55%"
"08.11.2022","85,33","85,33","85,33","85,33","","-2,08%"
"07.11.2022","87,14","87,14","87,14","87,14","","2,33%"
"04.11.2022","85,16","85,16","85,16","85,16","","2,15%"
"03.11.2022","83,37","83,37","83,37","83,37","","1,55%"
"02.11.2022","82,10","82,10","82,10","82,10","","2,59%"
"01.11.2022","80,03","80,03","80,03","80,03","","-13,42%"
"31.10.2022","92,43","92,43","92,43","92,43","","-0,62%"
"28.10.2022","93,01","93,01","93,01","93,01","","0,22%"
"27.10.2022","92,81","92,81","92,81","92,81","","-0,80%"
"26.10.2022","93,56","93,56","93,56","93,56","","-1,11%"
"25.10.2022","94,61","94,61","94,61","94,61","","0,11%"
"24.10.2022","94,51","94,51","94,51","94,51","","-0,37%"
"21.10.2022","94,86","94,86","94,86","94,86","","0,11%"
"20.10.2022","94,76","94,76","94,76","94,76","","-0,11%"
"19.10.2022","94,86","94,86","94,86","94,86","","-0,37%"
"18.10.2022","95,21","95,21","95,21","95,21","","0,29%"
"17.10.2022","94,93","94,93","94,93","94,93","","-1,04%"
"14.10.2022","95,93","95,93","95,93","95,93","","0,56%"
"13.10.2022","95,40","95,40","95,40","95,40","","-0,76%"
"12.10.2022","96,13","96,13","96,13","96,13","","-0,87%"
"11.10.2022","96,97","96,97","96,97","96,97","","-0,39%"
"10.10.2022","97,35","97,35","97,35","97,35","","1,81%"
"07.10.2022","95,62","95,62","95,62","95,62","","0,17%"
"06.10.2022","95,46","95,46","95,46","95,46","","0,21%"
"05.10.2022","95,26","95,26","95,26","95,26","","0,05%"
"04.10.2022","95,21","95,21","95,21","95,21","","1,05%"
"03.10.2022","94,22","94,22","94,22","94,22","","-4,16%"
