"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.03.2020","32,29","31,60","33,24","31,54","39,03M","3,49%"
"30.03.2020","31,20","30,57","31,61","30,43","31,19M","4,14%"
"27.03.2020","29,96","29,36","30,96","29,28","32,16M","-4,49%"
"26.03.2020","31,37","30,64","31,68","29,87","35,39M","2,79%"
"25.03.2020","30,52","28,53","30,89","28,45","37,93M","8,53%"
"24.03.2020","28,12","27,54","28,87","27,54","36,95M","10,40%"
"23.03.2020","25,47","26,56","26,79","24,93","41,74M","-3,12%"
"20.03.2020","26,29","28,31","29,44","25,93","50,20M","-3,31%"
"19.03.2020","27,19","28,01","29,13","26,34","52,14M","-5,82%"
"18.03.2020","28,87","28,98","30,53","26,67","59,55M","-6,90%"
"17.03.2020","31,01","30,25","32,55","29,22","52,59M","6,34%"
"16.03.2020","29,16","26,90","30,93","26,90","58,83M","-9,02%"
"13.03.2020","32,05","31,37","32,89","27,64","67,25M","21,36%"
"12.03.2020","26,41","26,89","26,89","24,24","61,99M","-13,21%"
"11.03.2020","30,43","32,13","33,09","29,13","49,61M","-9,08%"
"10.03.2020","33,47","31,30","33,87","30,48","62,97M","18,44%"
"09.03.2020","28,26","30,22","31,03","28,24","58,88M","-15,19%"
"06.03.2020","33,32","33,02","34,23","32,61","39,72M","-4,80%"
"05.03.2020","35,00","35,60","35,82","34,33","29,09M","-3,53%"
"04.03.2020","36,28","35,86","36,67","35,11","31,48M","4,79%"
"03.03.2020","34,62","34,92","36,67","34,42","52,40M","-0,03%"
"02.03.2020","34,63","33,53","35,18","33,47","48,37M","4,62%"
"28.02.2020","33,10","32,86","33,10","32,27","33,23M","-0,36%"
"27.02.2020","33,22","33,35","34,02","32,54","42,42M","-1,95%"
"26.02.2020","33,88","34,86","34,99","33,66","46,92M","-9,53%"
"21.02.2020","37,45","38,10","38,20","37,20","32,25M","-3,95%"
"20.02.2020","38,99","39,79","39,96","38,89","18,82M","-1,17%"
"19.02.2020","39,45","39,54","39,68","39,14","14,44M","0,03%"
"18.02.2020","39,44","39,26","39,63","38,93","18,05M","-1,15%"
"17.02.2020","39,90","38,63","39,90","38,56","28,13M","4,72%"
"14.02.2020","38,10","39,00","39,05","38,06","19,90M","-2,18%"
"13.02.2020","38,95","39,01","39,14","38,52","20,11M","-1,74%"
"12.02.2020","39,64","39,67","39,88","39,47","28,54M","1,95%"
"11.02.2020","38,88","38,21","38,99","38,11","27,56M","3,71%"
"10.02.2020","37,49","38,77","38,77","37,29","28,24M","-3,67%"
"07.02.2020","38,92","39,50","39,56","38,79","14,45M","-2,21%"
"06.02.2020","39,80","40,09","40,28","39,46","22,16M","0,56%"
"05.02.2020","39,58","39,83","40,06","39,58","26,80M","1,36%"
"04.02.2020","39,05","38,99","39,28","38,82","21,56M","2,68%"
"03.02.2020","38,03","37,72","38,17","37,20","18,86M","1,28%"
"31.01.2020","37,55","38,07","38,14","37,20","29,99M","-2,39%"
"30.01.2020","38,47","37,33","38,47","37,20","23,08M","1,48%"
"29.01.2020","37,91","38,62","38,76","37,69","23,32M","-0,89%"
"28.01.2020","38,25","38,25","38,91","38,16","23,05M","1,38%"
"27.01.2020","37,73","38,59","38,71","37,71","38,78M","-6,12%"
"24.01.2020","40,19","41,55","41,63","40,11","19,74M","-3,06%"
"23.01.2020","41,46","41,41","41,63","40,87","23,03M","-1,43%"
"22.01.2020","42,06","42,28","42,47","41,88","17,27M","0,48%"
"21.01.2020","41,86","42,43","42,59","41,64","25,44M","-2,31%"
"20.01.2020","42,85","42,58","42,85","42,23","16,75M","0,63%"
"17.01.2020","42,58","42,02","42,65","41,91","36,52M","3,32%"
"16.01.2020","41,21","41,53","41,80","41,16","13,15M","-0,53%"
"15.01.2020","41,43","41,31","41,89","41,17","21,43M","-0,31%"
"14.01.2020","41,56","41,31","42,09","41,09","27,82M","0,61%"
"13.01.2020","41,31","40,07","41,56","39,97","27,50M","3,64%"
"10.01.2020","39,86","40,15","40,24","39,67","9,13M","0,10%"
"09.01.2020","39,82","40,15","40,24","39,63","14,64M","-1,31%"
"08.01.2020","40,35","40,49","40,62","40,06","15,30M","0,02%"
"07.01.2020","40,34","39,97","40,48","39,89","16,33M","0,72%"
"06.01.2020","40,05","40,19","40,19","39,70","32,79M","-0,60%"
"03.01.2020","40,29","40,10","40,71","40,03","17,28M","-0,74%"
"02.01.2020","40,59","40,32","40,67","40,15","17,51M","1,93%"
"30.12.2019","39,82","40,08","40,23","39,74","11,93M","-0,55%"
"27.12.2019","40,04","40,33","40,34","39,91","13,92M","0,43%"
"26.12.2019","39,87","39,89","40,03","39,67","20,41M","0,38%"
"23.12.2019","39,72","39,95","40,01","39,59","10,23M","-0,38%"
"20.12.2019","39,87","39,86","40,02","39,41","42,12M","1,45%"
"19.12.2019","39,30","38,93","39,47","38,73","17,68M","1,00%"
"18.12.2019","38,91","38,77","38,96","38,28","22,92M","0,23%"
"17.12.2019","38,82","38,75","39,09","38,61","13,57M","0,00%"
"16.12.2019","38,82","39,66","39,79","38,82","21,81M","-0,77%"
"13.12.2019","39,12","38,79","39,30","38,45","28,17M","1,53%"
"12.12.2019","38,53","37,92","38,61","37,65","25,14M","2,15%"
"11.12.2019","37,72","37,39","37,88","37,27","15,57M","1,23%"
"10.12.2019","37,26","37,27","37,43","37,04","13,88M","-0,45%"
"09.12.2019","37,43","38,02","38,20","37,35","19,39M","0,16%"
"06.12.2019","37,37","37,30","37,62","37,14","13,89M","0,78%"
"05.12.2019","37,08","36,90","37,17","36,79","9,50M","0,05%"
"04.12.2019","37,06","36,99","37,14","36,77","9,11M","1,01%"
"03.12.2019","36,69","37,30","37,30","36,57","13,48M","-1,79%"
"02.12.2019","37,36","36,50","37,62","36,47","23,95M","2,72%"
"29.11.2019","36,37","36,66","36,73","36,26","10,29M","-0,79%"
"28.11.2019","36,66","36,79","37,03","36,16","10,15M","-0,41%"
"27.11.2019","36,81","37,06","37,26","36,48","13,51M","-1,23%"
"26.11.2019","37,27","36,82","37,48","36,72","32,45M","0,70%"
"25.11.2019","37,01","36,78","37,25","36,70","24,51M","1,65%"
"22.11.2019","36,41","35,33","36,41","35,33","27,68M","3,32%"
"21.11.2019","35,24","34,76","35,24","34,71","15,62M","0,51%"
"19.11.2019","35,06","35,01","35,29","34,73","13,11M","1,18%"
"18.11.2019","34,65","34,73","34,97","34,55","16,78M","1,32%"
"14.11.2019","34,20","34,46","34,63","34,17","14,16M","-0,26%"
